iter	Passed	Remaining
431	1539	2024
432	1542	2020
433	1545	2015
434	1549	2012
435	1552	2008
436	1555	2003
437	1558	2000
438	1562	1996
439	1564	1991
440	1567	1987
441	1570	1983
442	1573	1978
443	1577	1975
444	1580	1970
445	1583	1966
446	1586	1962
447	1588	1957
448	1592	1954
449	1595	1950
450	1598	1945
451	1601	1941
452	1604	1937
453	1608	1934
454	1610	1929
455	1613	1925
456	1616	1921
457	1619	1916
458	1622	1912
459	1625	1908
460	1628	1904
461	1631	1899
462	1634	1895
463	1637	1891
464	1640	1887
465	1643	1883
466	1646	1878
467	1649	1874
468	1652	1870
469	1655	1866
470	1658	1862
471	1661	1858
472	1664	1854
473	1667	1850
474	1670	1846
475	1673	1842
476	1676	1837
477	1679	1834
478	1683	1830
479	1687	1827
480	1690	1823
481	1693	1820
482	1696	1816
483	1700	1812
484	1703	1809
485	1706	1805
486	1709	1801
487	1712	1796
488	1715	1792
489	1718	1788
490	1721	1784
491	1724	1780
492	1727	1776
493	1730	1772
494	1733	1768
495	1736	1764
496	1739	1760
497	1741	1755
498	1744	1751
499	1747	1747
500	1751	1744
501	1753	1739
502	1756	1735
503	1759	1731
504	1762	1727
505	1765	1724
506	1768	1719
507	1771	1715
508	1774	1711
509	1777	1707
510	1780	1704
511	1784	1700
512	1786	1696
513	1789	1692
514	1792	1688
515	1796	1684
516	1799	1681
517	1802	1676
518	1804	1672
519	1807	1668
520	1811	1665
521	1814	1661
522	1817	1657
523	1820	1653
524	1822	1649
525	1825	1645
526	1828	1641
527	1831	1637
528	1834	1633
529	1837	1629
530	1840	1625
531	1843	1622
532	1846	1618
533	1849	1614
534	1852	1610
535	1855	1606
536	1858	1602
537	1861	1598
538	1864	1594
539	1867	1590
540	1870	1586
541	1873	1582
542	1876	1579
543	1879	1575
544	1881	1571
545	1884	1567
546	1887	1563
547	1891	1559
548	1894	1555
549	1896	1552
550	1899	1548
551	1903	1544
552	1905	1540
553	1909	1537
554	1912	1533
555	1915	1529
556	1918	1525
557	1920	1521
558	1924	1518
559	1927	1514
560	1930	1510
561	1933	1506
562	1936	1502
563	1939	1499
564	1942	1495
565	1945	1491
566	1948	1487
567	1951	1484
568	1954	1480
569	1958	1477
570	1961	1473
571	1964	1469
572	1967	1466
573	1970	1462
574	1973	1458
575	1976	1454
576	1979	1450
577	1982	1447
578	1985	1443
579	1988	1439
580	1991	1435
581	1994	1432
582	1997	1428
583	2000	1424
584	2003	1421
585	2006	1417
586	2009	1413
587	2012	1409
588	2015	1406
589	2018	1402
590	2021	1398
591	2024	1395
592	2027	1391
593	2030	1388
594	2034	1384
595	2038	1381
596	2040	1377
597	2043	1373
598	2047	1370
599	2050	1367
600	2054	1363
601	2056	1359
602	2059	1356
603	2062	1352
604	2066	1349
605	2069	1345
606	2072	1341
607	2075	1338
608	2078	1334
609	2081	1330
610	2084	1327
611	2087	1323
612	2090	1319
613	2093	1316
614	2096	1312
615	2099	1308
616	2103	1305
617	2105	1301
618	2108	1297
619	2111	1294
620	2114	1290
621	2118	1287
622	2120	1283
623	2123	1279
624	2126	1275
625	2130	1272
626	2133	1268
627	2135	1265
628	2139	1261
629	2142	1258
630	2145	1254
631	2148	1250
632	2151	1247
633	2154	1243
634	2156	1239
635	2161	1237
636	2164	1233
637	2167	1229
638	2170	1226
639	2173	1222
640	2177	1219
641	2180	1216
642	2183	1212
643	2186	1208
644	2189	1205
645	2193	1202
646	2197	1198
647	2200	1195
648	2203	1191
649	2206	1187
650	2209	1184
651	2212	1181
652	2215	1177
653	2218	1173
654	2222	1170
655	2225	1166
656	2228	1163
657	2231	1159
658	2234	1156
659	2237	1152
660	2240	1149
661	2243	1145
662	2246	1141
663	2249	1138
664	2252	1134
665	2255	1131
666	2258	1127
667	2261	1124
668	2264	1120
669	2267	1116
670	2270	1113
671	2274	1109
672	2276	1106
673	2279	1102
674	2282	1099
675	2286	1095
676	2289	1092
677	2292	1088
678	2295	1085
679	2298	1081
680	2301	1078
681	2305	1074
682	2308	1071
683	2311	1067
684	2314	1064
685	2317	1060
686	2320	1057
687	2323	1053
688	2326	1050
689	2329	1046
690	2332	1042
691	2335	1039
692	2338	1035
693	2340	1032
694	2343	1028
695	2346	1024
696	2349	1021
697	2352	1017
698	2355	1014
